rate,clean_model_clean,poison_model_clean,poison_model_poison
-0.01,3456137.7861827244,5973450.742390379,nan
0.05,4684470.220657274,4464568.036549294,22719941.99709203
0.1,5325829.921687807,3041073.731329646,31177675.650179993
0.2,3024258.80740741,3092157.6737144925,22584648.6089192
0.3,2923653.38671057,4079155.336010266,14937200.395143935
0.01,9976954.844750268,2335876.8362222533,7626384.551538619
0.05,2415588.8151653246,16560902.373005526,47417439.50741848
0.1,3255654.3932707715,880203.4777860529,5024652.837038009
0.2,2893939.2054874226,1771288.7437972156,4363631.903785802
0.3,1708858.1381948555,13956065.515344288,29715445.035981376
0.4,12642516.905589273,8177033.763893045,17282674.114790626
-0.01,2929995.4705252205,2713640.4019962912,nan
0.05,17773684.875671286,3184188.1429167464,7428612.909849314
0.1,1808676.360030582,2321164.8374150274,28876070.284675308
0.2,2532115.4825857035,7526800.1926675225,21446515.146124907
0.3,1804897.4238735652,3819474.6852131435,20317419.686708592
0.4,2939594.858409317,4814052.102152017,8889707.953886941
0.01,1950256.8553944766,6174567.280753735,20334261.794156622
0.05,2810684.8698525955,2849899.3261305955,17167487.853589002
0.1,8263393.11123373,2295478.7759492192,5714408.734713064
0.2,3445785.7683016085,10331776.9413686,28872116.08305768
0.3,2468399.8390314286,4050534.350040528,20407804.343389153
0.4,2327293.854217494,6984597.043573706,10135952.050109858
0.01,1287415.3109710938,3967354.1345067923,21494071.166889712
0.05,2301310.4030261524,4144773.3348497213,9603678.251731662
0.1,2984321.7812526254,1990018.4434390964,19288420.03345674
0.2,2370663.0250397185,3801349.127416373,57865579.820632964
0.3,6445555.644712289,10969856.886120781,19984138.504118524
0.4,4719160.343969374,5273540.0253010625,10755589.84952121
0.01,2294412.669049061,2112398.7606073036,45917428.80469786
0.05,2021324.6052027077,1762743.6830857538,3450847.612039417
0.1,2456498.5667696265,2000981.377270058,4320308.484947104
0.2,4183764.9224872845,4355127.661862337,23471073.60913058
0.3,1014331.570421435,4037774.4126037187,21436258.761032626
0.4,3820203.6081448803,12837814.975216838,26080206.659834176
0.01,3140038.5585253593,13671929.909721147,48991905.25863829
0.05,12038520.220170757,2888114.47438001,5822267.46209755
0.1,2425078.5997154224,2182626.797108917,3863672.084241057
0.2,2468151.280710867,11852434.332568087,19283083.98605628
0.3,1093779.468141135,4769231.447545513,20070365.364550337
0.4,3192935.881974714,4155711.784565904,15623522.184888678
