rate,c_m_c_p,c_m_c_b,p_m_c_p,p_m_c_b,p_m_p_b
0.01,21301424.84259924,340818437.38373315,4088083.4962692475,37646932.90268033,7008059.593312345
0.05,4343108.753604431,36127578.38469634,33329012.53603482,599151206.3232105,133871776.97419775
0.1,519978.1016531389,27609545.69456913,289571.81255047134,38063879.78354038,1663367.9806321345
0.2,828375.0505646837,29914506.90479303,669192.3187295286,51399725.37713041,2175738.655303036
0.3,258973.50549520415,34363632.799444035,824898.7106751178,31033900.640970945,2063764.2252033032
0.4,866156.7406852057,18233479.639004584,1157521.9553980734,26326208.763246763,1495169.5765450266
0.01,686539.770729676,32022209.20212174,281285.401125736,36517383.97098098,4812314.216949374
0.05,582679.080618571,25844661.74773147,424634.15602635505,61918441.183128804,4302295.501172789
0.1,548467.3775166518,25708426.30388438,482006.1017387299,15775777.404653763,3733096.7000950323
0.2,438997.39797102596,42114795.34871618,1143174.523086258,30070411.251556583,3465382.0951743745
0.3,782893.458096941,22114131.77897078,1401375.3984662406,34005151.54238147,2385023.5739237186
0.4,654686.5991108898,19415489.460328184,1267905.5189430309,42927303.53956456,1726151.9973024572
0.01,373237.11084385036,45410546.26778221,345692.50770454545,31719838.437948823,9836282.08655968
0.05,498508.21793416335,22608189.54991015,846699.0276800444,21455767.910533972,4921764.86083886
0.1,884246.4344632981,23889878.172611307,569557.5157308083,35865203.6339891,2517693.0819803053
0.2,361731.2107591135,27515472.205614857,855140.6303536983,27880949.07581122,2785216.2503234586
0.3,778784.7805171309,19539161.961330432,1022039.088726872,23363766.2515817,2084537.1847663973
0.4,454812.2819357552,67299797.29495603,1138329.94574871,44432249.001143456,1539446.7828027003
0.01,769886.5656490037,28692428.826986652,1029027.3417210914,19908686.191757753,8027311.545864864
0.05,582013.174196549,40897658.334738076,627315.3747869239,37145846.182721674,4059040.371087106
0.1,899223.8832073248,15151919.910544377,925464.1561923543,20451676.41575786,4591925.184162321
0.2,772194.1055046167,17728269.49280568,1266733.006736087,36335370.84101102,3688405.8910970325
0.3,991135.6628856403,19170067.794860605,1032075.8152679914,27282613.953526616,2142668.727012554
0.4,859773.2986790062,23097748.00265349,1142796.7366684945,47576638.4052751,1617916.1898602035
0.01,336838.84359141486,33632421.881069265,1030822.8583925422,23503742.746073473,7654357.305967762
0.05,606186.6541436106,15091388.688418696,328215.44046420715,16790656.4590932,2618798.3984578545
0.1,528608.7407546104,28053835.044282805,511885.3970335055,33672139.130672924,2643717.131741936
0.2,629638.2867567732,24730438.360694416,1222902.0045465317,31265310.056862533,3407921.2187478836
0.3,409774.1269694431,30780956.407195494,501990.6900349276,21913503.427707408,1268853.1812148006
0.4,326719.1586229611,26043519.091691256,732191.476179217,33982838.66087794,892466.9733438735
0.01,449037.1001288685,15481223.276273351,962156.1753653002,18021096.133103687,6332608.132198955
0.05,754504.2293962144,16565115.90345416,325347.4779503774,18731171.21840046,2372232.5959128314
0.1,322487.702504421,29026887.631239668,329880.24079246534,37651979.643638,1934150.0815268937
0.2,444969.7067804691,27363044.904569224,924161.3264828668,27826705.680081256,3198083.621640483
0.3,478236.6671180268,19641653.7053585,1334226.8201846655,28444558.14109555,2492615.7552929837
0.4,435576.8805497287,31979082.684581574,1015175.0542305929,45043738.22044928,1394937.8228336533
