rate,c_m_c_p,c_m_c_b,p_m_c_p,p_m_c_b,p_m_p_b
-0.01,2785005.073355264,71243260.9883723,4616943.546503096,85123078.87778963,nan
0.05,4805201.561285357,41626482.58890596,4785892.069039289,36178891.64249056,22719941.99709203
0.1,4286420.236264938,83086973.4780728,2540315.661913753,56566606.08176768,31177675.650179993
0.2,2580230.8462523455,66783335.55844955,2708709.8151666955,71196103.12380134,22584648.6089192
0.3,2419666.9657758023,218313089.02324784,3345923.8537011044,153580677.49134144,14937200.395143935
0.01,7677150.535028937,128760253.15760009,1798104.809643387,36272006.20931348,7626384.551538619
0.05,1755532.9126654058,39662220.41624119,11584255.9107678,215082327.30097964,47417439.50741848
0.1,2498095.711073228,162753615.29824948,581994.8631859549,38950619.459215336,5024652.837038009
0.2,2361953.639118966,41094709.34639107,1066424.680405912,46803355.93924653,4363631.903785802
0.3,1215373.2983066596,30355499.17052807,10362101.371617787,260478181.16629255,29715445.035981376
0.4,9092861.576880557,98758555.1338732,5989196.637131244,106711747.69731836,17282674.114790626
-0.01,2313268.7411517366,73096018.40358561,2005472.8483276658,43556925.6506792,nan
0.05,13664659.75093783,114246493.58650844,2360481.099155024,59699039.773334585,7428612.909849314
0.1,1327186.3078186277,26033222.02320258,1912728.6353812318,52304122.543291986,28876070.284675308
0.2,1943019.9506656488,52038637.96461536,6051194.149034998,57510700.762695774,21446515.146124907
0.3,1594002.9794034713,46215156.60793416,3124908.8031593333,210774741.2626096,20317419.686708592
0.4,2320558.1507747946,90965308.4048945,3851260.186440004,56535359.96095619,8889707.953886941
0.01,1339234.6202162993,42489382.24130704,5099068.561165136,50681313.961490616,20334261.794156622
0.05,2113771.596433571,33746904.2777553,2418887.9145495193,33441275.392799344,17167487.853589002
0.1,6196738.285180521,182195607.11694098,1605623.3827965322,35621793.71469102,5714408.734713064
0.2,2727089.382423373,36776929.00785421,9775018.294356646,76422585.59108873,28872116.08305768
0.3,2082218.7707638266,71570533.21723726,3323221.3988122395,57562980.44363007,20407804.343389153
0.4,1687189.4773153614,62461590.25459962,5606731.258978994,121933423.42333807,10135952.050109858
0.01,1102321.1785927701,35180025.75158038,3239356.557198242,158320460.7909428,21494071.166889712
0.05,1701168.7126931925,37491039.80362245,3556552.065681718,38947082.07485068,9603678.251731662
0.1,2455582.265807732,143766221.43817258,1677531.1042622335,159410227.67264935,19288420.03345674
0.2,1990412.013138126,32012363.369392306,3203656.0670128274,70176837.57793453,57865579.820632964
0.3,5839216.9986672755,44566178.14159287,9668019.857016731,64064829.564003795,19984138.504118524
0.4,3449465.0455585634,68435100.96525033,4120972.4518351285,79410814.54611045,10755589.84952121
0.01,1475242.8724581045,84928635.08176738,1611393.703000948,164283427.93222886,45917428.80469786
0.05,1799505.9365611067,68480853.39665246,1521959.3820156902,16984336.408942994,3450847.612039417
0.1,1665112.9997697978,31583270.8298984,1245620.2555582554,32358443.024782006,4320308.484947104
0.2,3357078.6360423025,50706237.58157116,3591366.1845483487,197782694.49680525,23471073.60913058
0.3,843134.8784265696,35124792.879075386,3540922.9910056256,98231521.56897692,21436258.761032626
0.4,2895510.968980593,43249170.47377698,9340642.418910993,166089291.02552274,26080206.659834176
0.01,2497823.931678691,28555688.930086493,10105326.425095057,208866472.70267847,48991905.25863829
0.05,8711073.639819492,64207471.53006924,2161126.780498242,24166367.566403907,5822267.46209755
0.1,1939172.6664143088,31975714.881591897,1527129.189447773,34666680.93710319,3863672.084241057
0.2,1870010.9060471777,29337751.58960369,8954870.200835813,111894535.39465287,19283083.98605628
0.3,940183.8989800182,24173557.89209248,4153556.4571869713,56074152.917217456,20070365.364550337
0.4,2743519.3201628425,35733944.400362395,3204486.1331516416,127184430.34104721,15623522.184888678
