rate,c_m_c_p,c_m_c_b,p_m_c_p,p_m_c_b,p_m_p_b
0.01,865013.3812437878,22731161.044533547,653115.4663304571,35584542.86263005,7935547.030651757
0.05,461744.9921958937,41429541.43201363,711877.5981342915,23047887.78986419,4190270.7740288386
0.1,6454330.929913408,433041754.5056101,1166840.9644569224,40724098.81056524,11747222.54984976
0.2,5429110.81622753,63455114.22958714,1860889.403758679,37610617.06347875,8739418.400751337
0.3,3128172.8839295693,22339231.91269615,29436506.69350313,719366742.2169358,85018806.65753752
0.4,25546271.24927126,259808706.12361044,15652546.000597589,267482825.56546155,48857683.191281825
-0.01,5566726.6819958575,155243636.80651343,5453847.742731524,57636009.010075584,nan
0.05,39828621.091576345,291050157.2640624,6232174.985412362,55260236.95374622,13681247.727202361
0.1,2884624.16842258,26682813.461838964,4774173.702666237,125360812.82056847,79162017.45383587
0.2,4951065.056054894,71886323.19641374,15867233.400932482,112391279.78497413,57408781.248025976
0.3,3216222.0220165327,94417206.26586092,6571975.612545524,564313920.7030661,56182211.91227836
0.4,5652301.2541026035,234064946.29402715,9017969.52143395,83751472.8037395,23216819.8670559
0.01,3271229.638961197,36647054.18835668,14605820.668086322,88604265.00857417,41330221.20935051
0.05,5344298.353432385,56024333.73344558,5563265.688288469,57412290.35733009,41658933.83908929
0.1,16821721.986614972,498807065.00560045,3677755.1169279804,35134973.876094885,12107840.040178584
0.2,7457805.725751892,55299842.612332895,27614773.622362543,173505858.62164375,81045915.74852614
0.3,4689086.7512572175,175633275.72905087,7925586.018982976,125961408.82772678,57054338.66063466
0.4,4151943.868074572,52785176.17388682,14543533.885439562,276935772.26772726,27328962.584724173
0.01,1767190.4044803032,48155219.60076785,7660014.98815254,435144009.98931295,48427590.40893942
0.05,3939479.7896864787,30677802.741391204,9415025.44747131,42549553.8591087,20692954.01302077
0.1,5568299.031008546,400994824.49342895,3181665.000401992,437327330.18643236,48681409.73204558
0.2,4426847.8284051465,60580551.12256552,7077502.187566309,137859771.05178148,166219927.67970487
0.3,15535379.670230543,95358398.83505736,26939907.94051421,137629260.78495815,55667078.058330454
0.4,8628848.539317677,159109806.89044404,10077323.882168395,143079166.82778114,29030937.168843225
0.01,3752050.9301914833,187521061.48316354,2772535.392217761,445842798.30453956,122443571.80215806
0.05,4186144.5013960986,175259782.81311995,3909447.265118656,17371696.30864258,5114946.039202542
0.1,3938121.5178001723,38642142.40112958,2713089.972607756,29731050.81300017,7673491.191357437
0.2,8811959.334613362,102657836.02332461,8328294.5445519835,530817463.3766906,63597378.38989597
0.3,1709856.3813408227,43812465.82283512,9618787.592947021,250867557.85151595,61771069.92066828
0.4,8033094.589695858,77660473.23794846,26557544.30437454,430302195.75481224,76455686.03281477
0.01,6595397.5947783375,54704620.23771279,28391666.92455457,590557225.8418282,134310499.51151702
0.05,24624212.460666053,159492182.78329936,5832685.385593972,35036760.26241078,12722337.19446699
0.1,5172542.594234085,37873369.382296324,3921627.086758389,28696083.524033546,7722716.089669381
0.2,4720093.304580595,33287164.9596726,25016287.9495417,280030194.823796,51453084.71488787
0.3,1864078.3627040014,33237366.265560444,9792215.731191585,111333342.46946123,55225864.58306503
0.4,7359404.199389067,43243667.831924036,7583108.290993739,291465814.582243,44080690.908998735
