rate,clean_model_clean,poison_model_clean,poison_model_poison
-0.01,8493768.948909873,15946035.885272125,nan
0.05,12750484.358002158,11928690.042812286,58305615.28682952
0.1,14030004.111501958,6981793.433492812,85604147.29108551
0.2,7298000.751151555,7654963.787887274,62695319.21083552
0.3,6611589.2026086,9029509.63363821,40541510.136264674
0.01,28006968.31499742,5262491.083234521,7008059.593312345
0.05,5950973.046835122,48035272.5888342,133871776.97419775
0.1,8602445.964993048,1722972.7541014736,11747222.54984976
0.2,6484603.562272226,3088205.05496937,8739418.400751337
0.3,4232419.359675296,40060610.45517134,85018806.65753752
0.4,36081662.75387804,22339694.71006253,48857683.191281825
-0.01,7231957.755697415,7233771.157932632,nan
0.05,51998916.430291325,8243532.764975233,13681247.727202361
0.1,4116383.6324360976,5901957.443927891,79162017.45383587
0.2,6241484.4815363735,20141150.081828114,57408781.248025976
0.3,3663075.2132668057,8282226.530700996,56182211.91227836
0.4,7393560.173252772,11138162.01666264,23216819.8670559
0.01,4804780.181904935,17773337.771066688,41330221.20935051
0.05,7253155.069180561,6702922.439427182,41658933.83908929
0.1,22794223.869073026,5376473.46317479,12107840.040178584
0.2,9357413.982654018,29301040.12944329,81045915.74852614
0.3,5743790.845055717,10022364.640089497,57054338.66063466
0.4,5639330.381252141,18323239.59636813,27328962.584724173
0.01,2015568.5662667707,9558987.267252801,48427590.40893942
0.05,5308124.521467535,10748521.31212043,20692954.01302077
0.1,7050587.34219123,3993461.4168769754,48681409.73204558
0.2,5497966.966181267,8317985.945826231,166219927.67970487
0.3,17221984.785379402,30695437.485138424,55667078.058330454
0.4,12170830.226113742,13217137.683964128,29030937.168843225
0.01,5989397.347504738,4004246.822919854,122443571.80215806
0.05,4888897.418047641,4355246.459770557,5114946.039202542
0.1,5906707.096042036,4403215.221101892,7673491.191357437
0.2,10969289.94828917,10305272.891686898,63597378.38989597
0.3,1979555.4177407357,11001932.383774912,61771069.92066828
0.4,10550339.093484132,36647974.19361398,76455686.03281477
0.01,8280925.95039833,38950842.151736565,134310499.51151702
0.05,34695816.29644771,7878482.264263401,12722337.19446699
0.1,6306886.653127635,5491893.165194533,7722716.089669381
0.2,6295076.233756316,33550685.636706937,51453084.71488787
0.3,2119522.6109809205,11465539.5528981,55225864.58306503
0.4,8431046.486586219,9983843.874969136,44080690.908998735
